Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1
tungsten,007440-33-7,,"W;タングステン（資源）;W reserves;tungsten reserves,W;タングステン（資源）;W reserves;tungsten reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,95f80b11-c32f-430a-9c76-877710e2de3f,,
yttrium,007440-65-5,,"Y;イットリウム（資源）;Y reserves;yttrium reserves,Y;イットリウム（資源）;Y reserves;yttrium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,3685e3b5-17f2-43c0-9d0e-93d776c60837,,
ytterbium,007440-64-4,,"Yb;イッテルビウム（資源）;Yb reserves;ytterbium reserves,Yb;イッテルビウム（資源）;Yb reserves;ytterbium reserves",kg,,,,Resources/ground/Non-renewable element resources,7dd1b051-d53f-474c-bb57-9b7110c9619a,,
zinc,007440-66-6,,"Zn;亜鉛（資源）;Zn reserves;zinc reserves,Zn;亜鉛（資源）;Zn reserves;zinc reserves",kg,,,,Resources/ground/Non-renewable element resources,cdd38c6f-a5f4-409f-8a71-7d1612afd182,,
zirconium,007440-67-7,,"Zr;ジルコニウム（資源）;Zr reserves;zirconium reserves,Zr;ジルコニウム（資源）;Zr reserves;zirconium reserves",kg,Geological,,,Resources/ground/Non-renewable element resources,6f34968b-8ba5-48a7-a5e3-aed84b9a378f,,
"metallurgical coal, 29.0MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,8d74c908-46bc-4b98-bc23-4e607e39d1db,,
"hard coal, 25.7MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,7719ef28-cd4f-4bc1-8898-4137f419ea65,,
"brown coal, 17.2MJ/kg",,,",lignite",kg,Geological,,,Resources/ground/Non-renewable energy resources,55617aae-0ade-4bc5-9158-ba340ccbded8,,
peat,,,"ピート,ピート",MJ,Geological,,,Resources/ground/Non-renewable energy resources,6cd464b1-0cf1-4f28-9d81-286d27f06356,,
"crude oil, 44.7MJ/kg",,,,kg,,,,Resources/ground/Non-renewable energy resources,54a513ba-eaee-4403-a395-00774c14a1a4,,
"natural gas, 54.6MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,eccec726-4ce1-43b2-a5ad-cef9080b1241,,
