Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1,,,,,,,,,,FlowInternalID,UsedYn,,
pit sand,,,"山砂,",kg,Geological,,,Resources/ground/Non-renewable material resources,11327ff6-fbb3-4693-a386-d01f5ed9861a,,,,,,,,,,,,1258,1,,Geological
sand (sea and river),,,"海砂;川砂,",kg,Geological,,,Resources/ground/Non-renewable material resources,048445c3-dfc2-42a5-835c-155fc1bee381,,,,,,,,,,,,1259,1,,
serpentine,,,"蛇紋石;antigorite;chrysolite;lizardite,antigorite;chrysolite;lizardite",kg,Geological,,,Resources/ground/Non-renewable material resources,dde29593-56bf-4537-abfc-79ed99ce8eab,,,,,,,,,,,,1266,1,,Geological
peridotite,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,567486b4-4011-422a-b1da-4160332bc997,,,,,,,,,,,,1267,1,,
pyrophyllite,,,"pyrophyllite;mellite,",kg,Geological,,,Resources/ground/Non-renewable material resources,db4378da-b5e4-4048-af40-1a659f5ba619,,,,,,,,,,,,1279,1,,Geological
cryolite,,,"ヘキサフルオロアルミン酸ナトリウム;Na3AlF6;Greenland spar;ice stone,Na3AlF6;Greenland spar;ice stone",kg,Geological,,,Resources/ground/Non-renewable material resources,3b30b811-bb1e-4496-be52-860b4b4b138b,,,,,,,,,,,,1280,1,,
acid clay,,,"acid earth,",kg,Geological,,,Resources/ground/Non-renewable material resources,ce2937ca-c837-4b75-a336-473a724b0360,,,,,,,,,,,,1281,1,,
diamond,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,a88efa5f-859f-4896-84f4-2bad8fe3110d,,,,,,,,,,,,1282,1,,Geological
Mineral resources from the ground of the other,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,0C2B12B0-01F6-4657-8270-F0C606213660,,,,,,,,,,,,1290,1,,
"wood, Japan, artificial forest, without reforestation",,,人工林⇒裸地（ 再造林放 棄）,kg,Biological,,,Resources/ground/Renewable material resources,7b825729-3020-4674-a7cc-a791a4d348c7,,,,,,,,,,,,1302003,1,,Geological
"wood, Japan, artificial forest, reforestation",,,人工林⇒人工林,kg,Biological,,,Resources/ground/Renewable material resources,CCDB1EC1-6AA3-4A1C-8445-864556DB93B6,,,,,,,,,,,,1302004,1,,
natural latex,,,,kg,Biological,,,Resources/ground/Renewable material resources,cb093fcd-9159-4dcb-ad67-56d44b1b54cb,,,,,,,,,,,,1304,1,,Geological
air,,,,kg,Geological?,,,Resources/air/Renewable material resources,9b70be9f-6e6e-41c0-8212-186087bbcaec,,,,,,,,,,,,1401,1,,
carbon dioxide,000124-38-9,,"CO2;二酸化炭素;CO2;carbon dioxide,CO2;二酸化炭素;CO2;carbon dioxide",kg,Geological?,,,Resources/air/Renewable material resources,606a0810-5597-4098-9535-1c3e087d247c,,,,,,,,,,,,1412,1,,
primary energy from solar energy,,,,MJ,Energy,,,Resources/air/Renewable energy resources,43b9bd31-4341-448b-8999-2a37c12a6850,,,,,,,,,,,,1421,1,,
primary energy from wind power,,,,MJ,Energy,,,Resources/air/Renewable energy resources,883514e4-5597-46f0-93d8-ac1ac777ba71,,,,,,,,,,,,1422,1,,Geological
surface water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/withdrawal,D5510D5A-8D10-4C2F-9D99-8DA775DCB9D9,,,,,,,,,,,,1511000,1,,Geological
surface water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/use,07277E67-58D6-4385-9899-D2E940361EAF,,,,,,,,,,,,1511200,1,,Geological
surface water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/consumption,3A4F2ECE-EE3F-41FF-AD23-B529F2A12A98,,,,,,,,,,,,1511400,1,,
sea water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/withdrawal,FCEB0261-7E4F-4F18-A983-2A37162234E1,,,,,,,,,,,,1514000,1,,
sea water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/use,614EE91B-B978-432C-9946-D8D5AB44D9E1,,,,,,,,,,,,1514200,1,,Geological
sea water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/consumption,289b37c3-3395-4860-9f1a-cc2b2751f18e,,,,,,,,,,,,1514400,1,,Geological
ground water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/withdrawal,D54E57F9-E803-4659-A4A6-D85A47CEEE04,,,,,,,,,,,,1515000,1,,Geological
ground water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/use,7BD77C72-F89C-42AF-85F4-15E963C334CC,,,,,,,,,,,,1515200,1,,Geological
ground water,007732-18-5,,"H2O,H2O",m3,Water,,,Resources/water/consumption,4A5C2D04-E83F-4469-A3AE-DEFA75CB523B,,,,,,,,,,,,1515400,1,,Geological
brine,007732-18-5,,,m3,Water,,,Resources/water/withdrawal,BECF4FB8-7AC9-46DA-AFD6-A06DC89C010A,,,,,,,,,,,,1516000,1,,
rain water,007732-18-5,,"雨水,rainwater",m3,Water,,,Resources/water/withdrawal,C833CB2F-FF9A-4AFD-8473-D3BFC0CF23A3,,,,,,,,,,,,1517000,1,,Geological
rain water,007732-18-5,,"雨水,rainwater",m3,Water,,,Resources/water/use,8B6EE852-32C8-42E4-B8CB-AB82F9F857D7,,,,,,,,,,,,1517200,1,,Geological
primary energy from hydro power,,,,MJ,Energy,,,Resources/water/Renewable energy resources,0f086918-5e4d-4c90-9bbc-7746b8ca4b69,,,,,,,,,,,,1521,1,,Geological
primary energy from waves,,,,MJ,Energy,,,Resources/water/Renewable energy resources,d78023f0-9f5d-492d-9799-9d8683265a7c,,,,,,,,,,,,1522,1,,Geological
arsenic,007440-38-2,,"As;ヒ素;As;arsenic,As;ヒ素;As;arsenic",kg,Element or Compound,,,Emissions/air/unspecified,a9cf345e-5d45-428e-86ab-99238e9629dd,,,,,,,,,,,,2101,0,,
CFC-10,000056-23-5,,"CCl4;Tetrachloromethane;テトラクロロメタン;CCl4;パークロロメタン;carbon tetrachloride;tetrachloromethane;CCl4;perchloromethane,CCl4;Tetrachloromethane;テトラクロロメタン;CCl4;パークロロメタン;carbon tetrachloride;tetrachloromethane;CCl4;perchloromethane",kg,Element or Compound,,,Emissions/air/unspecified,c683e38d-cb4c-4717-b892-01e3e4274992,,,,,,,,,,,,2102,1,,
cadmium,007440-43-9,,"Cd;カドミウム;Cd;cadmium,Cd;カドミウム;Cd;cadmium",kg,Element or Compound,,,Emissions/air/unspecified,c2e3f3af-eae6-47fd-a6c4-026e98dadf8e,,,,,,,,,,,,2103,0,,
methane,000074-82-8,,"CH4;メタン;メチルヒドリド;CH4;methane;methyl hydride,CH4;メタン;メチルヒドリド;CH4;methane;methyl hydride",kg,Element or Compound,,,Emissions/air/unspecified,36f67b9f-b6ab-4779-8912-d896b1271866,,,,,,,,,,,,2104501,1,,
methane (biogenic),000074-82-8,,"CH4;CH4 (biogenic);メタン;メチルヒドリド;CH4;methane;methyl hydride,CH4;CH4 (biogenic);メタン;メチルヒドリド;CH4;methane;methyl hydride",kg,Element or Compound,,,Emissions/air/unspecified,f3a17107-fed0-4d8a-a3f0-1678db071e5b,,,,,,,,,,,,2104502,1,,Geological
methane (fossil),000074-82-8,,"CH4;CH4 (fossil);メタン;メチルヒドリド;CH4;methane;methyl hydride,CH4;CH4 (fossil);メタン;メチルヒドリド;CH4;methane;methyl hydride",kg,Element or Compound,,,Emissions/air/unspecified,01475b85-1b22-429c-86f9-70aeaf042612,,,,,,,,,,,,2104503,1,,
chlorine,007782-50-5,,"Cl2;塩素（資源）;Cl2 reserves;chlorine reserves,Cl2;塩素（資源）;Cl2 reserves;chlorine reserves",kg,Element or Compound,,,Emissions/air/unspecified,f86e80b6-5adc-4489-9964-d22003ee7ab6,,,,,,,,,,,,2105,1,,
carbon monoxide,000630-08-0,,"CO;一酸化炭素;CO;carbon monoxide,CO;一酸化炭素;CO;carbon monoxide",kg,Element or Compound,,,Emissions/air/unspecified,1261e2cb-2b69-4903-8699-411c16b76e51,,,,,,,,,,,,2106,1,,Geological
carbon dioxide,000124-38-9,,"CO2;二酸化炭素;CO2;carbon dioxide,CO2;二酸化炭素;CO2;carbon dioxide",kg,Element or Compound,,,Emissions/air/unspecified,1501869e-6532-417a-914a-f02a2a5f3d3f,,,,,,,,,,,,2107501,1,,Geological
carbon dioxide (biogenic),000124-38-9,,"CO2;CO2 (biogenic);二酸化炭素;CO2;carbon dioxide,CO2;CO2 (biogenic);二酸化炭素;CO2;carbon dioxide",kg,Element or Compound,,,Emissions/air/unspecified,b5c07440-a15e-4607-9d27-d28b71749b44,,,,,,,,,,,,2107502,1,,Geological
carbon dioxide (fossil),000124-38-9,,"CO2;CO2 (fossil);二酸化炭素;CO2;carbon dioxide,CO2;CO2 (fossil);二酸化炭素;CO2;carbon dioxide",kg,Element or Compound,,,Emissions/air/unspecified,49bf8d65-2b2a-4348-bec8-833dd5b2514a,,,,,,,,,,,,2107503,1,,Geological
chromium,007440-47-3,,"Cr;Cr;chromium;chromium reserves,Cr;Cr;chromium;chromium reserves",kg,Element or Compound,,,Emissions/air/unspecified,22aff7af-5121-4a5e-897d-aecc6331abae,,,,,,,,,,,,2108,1,,
HCFC-141b,001717-00-6,,"C2Cl2H3F;1,1-dichloro-1-fluoroethane;1,1-ジクロロ-1-フルオロエタン;HCFC-141b;1,1-dichloro-1-fluoroethane,C2Cl2H3F;1,1-dichloro-1-fluoroethane;1,1-ジクロロ-1-フルオロエタン;HCFC-141b;1,1-dichloro-1-fluoroethane",kg,Element or Compound,,,Emissions/air/unspecified,9d3aef56-8289-42e4-8667-d028f4f81e32,,,,,,,,,,,,2109,1,,Geological
hydrogen chloride,007647-01-0,,"HCl;HCl;塩酸;hydrogen chloride;HCl;hydrochloric acid,HCl;HCl;塩酸;hydrogen chloride;HCl;hydrochloric acid",kg,Element or Compound,,,Emissions/air/unspecified,436fe3ce-9299-497f-8b24-691e8f11a27c,,,,,,,,,,,,2110,1,,
HFC-134a,000811-97-2,,"C2H2F4;1,1,1,2-tetrafluoroethane;1,1,1,2-テトラフルオロエタン;HFC-134a;1,1,1,2-tetrafluoroethane,C2H2F4;1,1,1,2-tetrafluoroethane;1,1,1,2-テトラフルオロエタン;HFC-134a;1,1,1,2-tetrafluoroethane",kg,Element or Compound,,,Emissions/air/unspecified,b07aad13-4534-48fc-b3d8-d0183bd8e2ba,,,,,,,,,,,,2111,1,,
mercury,007439-97-6,,"Hg;Hg;mercury,Hg;Hg;mercury",kg,Element or Compound,,,Emissions/air/unspecified,d1ddefa4-49e3-4c33-8d8e-89f21465ace1,,,,,,,,,,,,2112,1,,Geological
manganese,007439-96-5,,"Mn;マンガン（資源）;Mn reserves;manganese reserves,Mn;マンガン（資源）;Mn reserves;manganese reserves",kg,Element or Compound,,,Emissions/air/unspecified,8719ac93-a2a5-44e7-ae2a-8c50f335e335,,,,,,,,,,,,2113,1,,
nitrous oxide,010024-97-2,,"N2O;Laughing gas; Dinitrogen monoxide;亜酸化窒素;一酸化二窒素;N2O;nitrous oxide;dinitrogen monoxide,N2O;Laughing gas; Dinitrogen monoxide;亜酸化窒素;一酸化二窒素;N2O;nitrous oxide;dinitrogen monoxide",kg,Element or Compound,,,Emissions/air/unspecified,273d78cd-7261-40fe-b865-3dafd86ac721,,,,,,,,,,,,2114,0,,Geological
nickel,007440-02-0,,"Ni;Ni;nickel;Ni,Ni;Ni;nickel;Ni",kg,Element or Compound,,,Emissions/air/unspecified,0b8d089d-245d-4000-9f9b-634077ffd2ca,,,,,,,,,,,,2115,1,,Geological
non-methane volatile organic compounds,,,"NMVOC,NMVOC",kg,Groups of Chemicals ,,,Emissions/air/unspecified,e8a04ecd-1803-4d56-8910-b6d0eb209b03,,,,,,,,,,,,2116,1,,
"NOx, urban air close to ground",,,"窒素酸化物;NOx;nitrogen oxides,窒素酸化物;NOx;nitrogen oxides",kg,Groups of Chemicals ,,,Emissions/air/urban air close to ground,2406ad58-30ac-4698-98e5-64ab597fdc57,,,,,,,,,,,,2118010,1,,Geological
"NOx, urban high stacks",,,,kg,Groups of Chemicals ,,,Emissions/air/urban high stacks,5311b160-c3e1-43f8-ad9c-767e55862878,,,,,,,,,,,,2118011,1,,Geological
"NOx, non-urban",,,,kg,Groups of Chemicals ,,,Emissions/air/non-urban,DB17C1E1-F2FF-4561-812D-E6BD7F6D5566,,,,,,,,,,,,2118012,1,,
lead,007439-92-1,,"Pb;鉛;Pb;lead,Pb;鉛;Pb;lead",kg,Element or Compound,,,Emissions/air/unspecified,ec933d3e-8ba3-4cfe-b3e0-fa3b8f949373,,,,,,,,,,,,2121,1,,
"Particulates (PM2.5), urban air close to ground",,,,kg,Groups of Chemicals ,,,Emissions/air/urban air close to ground,cc1e3cc5-899c-4ae6-992a-e68e82dafa51,,,,,,,,,,,,2123011,1,,
"Particulates (PM2.5), urban high stacks",,,,kg,Groups of Chemicals ,,,Emissions/air/urban high stacks,d1a415e6-1bd9-4bab-90e9-17af6f07c983,,,,,,,,,,,,2123012,1,,Geological
