SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,SourceFlowCAS,SourceFlowCAS_Nolead_0,Notes,,TAH notes
ecoinvent,Tefluthrin,865f863b-8d32-47fa-94db-ee56dc6bb923,water/ surface water,kg,=,,Tefluthrin,,emission/water,kg,Edelen,Hottle,7/16/2020,079538-32-2,79538322,CAS Match,,
ecoinvent,Tefluthrin,2a46d676-6d14-4541-8cbf-e29d9996c76d,water/ ground-,kg,=,,Tefluthrin,,emission/water/subterranean,kg,Edelen,Hottle,7/16/2020,079538-32-2,79538322,CAS Match,,
ecoinvent,Tellurium,c6379349-6cf0-54c9-8bfe-2ec812501fda,air/ unspecified,kg,=,,Tellurium,,emission/air,kg,Edelen,Hottle,7/16/2020,013494-80-9,13494809,CAS Match,,
ecoinvent,"Tellurium, in ground",7b6da1f2-e191-5a77-ae06-af96201f5803,natural resource/ in ground,kg,=,,Tellurium,,resource/ground,kg,Edelen,Hottle,7/16/2020,013494-80-9,13494809,CAS Match,,
ecoinvent,Tellurium-123m,2f36d881-55bd-44ed-a383-a97cd4c53b16,water/ surface water,kBq,=,,Tellurium-123m,,emission/water,kBq,Edelen,Hottle,7/16/2020,,,Name Match,,
ecoinvent,Tellurium-132,6d3849fb-dbf1-40cf-905e-ba11be1ba9f4,water/ surface water,kBq,=,,Tellurium-132,,emission/water,kBq,Edelen,Hottle,7/16/2020,,,Name Match,,
ecoinvent,Terbacil,a110815e-69d2-43bd-8bf8-4e842e5895e3,soil/ agricultural,kg,=,,Terbacil,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,,,Name Match,,
ecoinvent,Terbufos,15057e97-7b47-405e-8222-6ed5cf4e0087,soil/ agricultural,kg,=,,Terbufos,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,013071-79-9,13071799,CAS Match,,
ecoinvent,Terbuthylazin,1be6f247-61bd-4614-a1fa-01a85e968fcb,soil/ agricultural,kg,=,,Terbuthylazine,,emission/ground/human-dominated/agricultural,kg,Edelen,Hottle,7/16/2020,005915-41-3,5915413,CAS Match,,
ecoinvent,Terpenes,10b69d7a-018d-44c6-9a5e-e67fc9475b86,air/ non-urban air or from high stacks,kg,=,,Terpenes,,emission/air/troposphere/rural,kg,Edelen,Hottle,7/16/2020,068956-56-9,68956569,Name Match,,
ecoinvent,t-Butylamine,cdf99498-1489-4226-97ad-94fa85b0528b,air/ urban air close to ground,kg,=,,tert-Butylamine,,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,7/16/2020,000075-64-9,75649,CAS Match,,
ecoinvent,t-Butylamine,a66849fd-060a-40b5-bd9d-04caa632b75c,water/ surface water,kg,=,,tert-Butylamine,,emission/water,kg,Edelen,Hottle,7/16/2020,000075-64-9,75649,CAS Match,,
ecoinvent,"Ethene, tetrachloro-",d2d4b344-3c58-4b0c-868a-ac0bdb2027dc,air/ urban air close to ground,kg,=,,Tetrachloroethylene,,emission/air/troposphere/urban/ground-level,kg,Edelen,Hottle,7/16/2020,000127-18-4,127184,CAS Match,,
