Flowable,Alternate Unit ,Reference Unit,Conversion Factor,External Reference,UUID
"collected rainwater to river, regionalized, NZ",m3,kg,1000.0,added,22b05a3d-82d3-48d2-8500-a4a3a25f0648
"processed water to river, regionalized, CI",m3,kg,1000.0,added,22cfe915-16b0-417d-b82c-053e6621f530
"processed water to river, regionalized, RS",m3,kg,1000.0,added,22dee5f2-ade2-4169-af8d-c365005b89a4
"processed water to groundwater, regionalized, VN",m3,kg,1000.0,added,22fd7450-1f06-47fd-8f39-272b63c8f032
"Water (river water from technosphere, waste water)",m3,kg,1000.0,added,231e373f-3f40-4d56-b770-3a3355f1c65a
"cooling water to lake, regionalized, NO",m3,kg,1000.0,added,2340fde5-041f-427b-be14-cb0a39e14db1
"processed water to groundwater, regionalized, PT",m3,kg,1000.0,added,2392b283-0fc4-420d-a176-0d070f09f59d
"processed water to groundwater, regionalized, SE",m3,kg,1000.0,added,23acbcc0-76e2-42d3-8d86-c7f5f08e83bf
"fresh water, regionalized, LT",m3,kg,1000.0,added,23be780e-157c-47aa-9558-c9869b6f2c4d
"river water to turbine, regionalized, CN",m3,kg,1000.0,added,23cff606-5ad2-4207-804a-de85a9430146
"turbined water to lake, regionalized, LU",m3,kg,1000.0,added,241bc2fa-f4cb-4515-a7b5-4b27acd2e881
"cooling water to lake, regionalized, IN",m3,kg,1000.0,added,2425f59d-a784-4ca0-9f1c-18640d2370ad
"lake water to turbine, regionalized, SI",m3,kg,1000.0,added,2434e394-aafe-4eb0-93df-d109fdb4be58
"collected rainwater to lake, regionalized, DE",m3,kg,1000.0,added,24a0ca9c-89bd-4b4a-8795-805c0bb3d96b
"processed water to groundwater, regionalized, SG",m3,kg,1000.0,added,24a71569-8fe3-4966-8b0d-2705d80a0914
"cooling water to river, regionalized, NG",m3,kg,1000.0,added,24e9780c-e199-442a-b31f-ab648c2a6009
"collected rainwater to river, regionalized, LK",m3,kg,1000.0,added,25314d9d-d14f-41cf-967c-6ab0b0731e0d
"ground water, regionalized, SK",m3,kg,1000.0,added,26123deb-5aa3-4270-85d0-d43df0bed7b1
"lake water, regionalized, NL",m3,kg,1000.0,added,264614db-c4ed-48ff-9a5a-2bac932001e7
"cooling water to lake, regionalized, BA",m3,kg,1000.0,added,264a2274-9370-4f7d-b17d-b30099f56564
"lake water, regionalized, SL",m3,kg,1000.0,added,26ccdd56-bfd0-4d3d-b53f-eda8ccba84b6
"river water to turbine, regionalized, SK",m3,kg,1000.0,added,271f1867-399b-4996-8a5d-b9fd3af08409
"turbined water to river, regionalized, RU",m3,kg,1000.0,added,28536de6-c0bb-4ac2-a3c6-08c91f5e1d1c
Water Cooling fresh,m3,kg,1000.0,added,2861065e-b62b-4d9d-869b-12db6d0b4801
"cooling water to river, regionalized, AR",m3,kg,1000.0,added,28a079c8-2328-4bb4-a423-dca31f9aab3d
"processed water to lake, regionalized, GB",m3,kg,1000.0,added,28e271c6-3acb-44d2-9474-524c9db3cac0
"processed water to lake, regionalized, NG",m3,kg,1000.0,added,28e7645f-d1e5-49e0-a4e2-4b797ad942bf
"ground water, regionalized, SL",m3,kg,1000.0,added,2938a15d-0b7e-4439-9e5a-0ad3ba977770
"river water,  high scarcity",m3,kg,1000.0,added,2961cf29-d2ba-43a2-8fc5-e8c693f12a83
"collected rainwater to river, regionalized, RO",m3,kg,1000.0,added,29c4ab90-937e-4ac4-ac99-1a75b89cf00c
"river water, regionalized, IE",m3,kg,1000.0,added,2a0d9eee-851d-48db-a444-b67da9128bef
"lake water, regionalized, KZ",m3,kg,1000.0,added,2a236a8b-a66f-48d3-bf26-8c7709d91df3
Water (rain water),m3,kg,1000.0,added,2a240c57-b782-4745-943b-0602d7a953c4
"processed water to river, regionalized, NZ",m3,kg,1000.0,added,2ab44772-3500-4c1e-bc58-6efefff3581a
"river water to turbine, regionalized, MK",m3,kg,1000.0,added,2abf6921-ecb1-4c39-bb0e-86edea3d8afd
"collected rainwater to lake, regionalized, CA",m3,kg,1000.0,added,2b1d23b9-9f9b-4e17-8924-c66876a9a108
"fresh water, regionalized, PH",m3,kg,1000.0,added,2b4f650f-9cdc-4ffe-a2f7-9be9b6de1584
"processed water to lake, regionalized, SG",m3,kg,1000.0,added,2b6d2fd1-4564-4bf2-9c20-6383d14ba3d1
"processed water to lake, regionalized, AU",m3,kg,1000.0,added,2ba14e9d-fa6d-4d36-88c6-9a6cf3857b17
"turbined water to river, regionalized, AU",m3,kg,1000.0,added,2be378af-cb18-47d2-b7f3-7d48f88f3fc0
"processed water to groundwater, regionalized, KZ",m3,kg,1000.0,added,2bef6787-18d5-4e2d-af3b-a029bf0afbe9
"lake water, regionalized, FR",m3,kg,1000.0,added,2c2e30e1-68a5-4fe3-b0f1-82f3ed716daa
"processed water to river, regionalized, NG",m3,kg,1000.0,added,2c76746a-86fb-4d97-bb2f-30a1408abe56
"turbined water to river, regionalized, SI",m3,kg,1000.0,added,2c7edde7-dcc3-47f5-bdb3-9ddb8e3a66a1
"collected rainwater to lake, regionalized, BR",m3,kg,1000.0,added,2d23cc6b-c958-4227-90cd-05c341096e26
"collected rainwater to river, regionalized, PH",m3,kg,1000.0,added,2d578be0-c433-4d10-908a-fdb22d516dff
"river water to turbine, regionalized, VN",m3,kg,1000.0,added,2d5ca6be-5b7e-4f1a-81b4-334cda8bcbf4
"processed water to groundwater, regionalized, DE",m3,kg,1000.0,added,2d7cf4ba-ef97-45b6-89af-631021861db7
"turbined water to lake, regionalized, AR",m3,kg,1000.0,added,2d7d5163-832f-4828-b6f0-2fda7b52b66a
"ground water, regionalized, RO",m3,kg,1000.0,added,2d9a3f70-be29-4a63-be68-d02ae51abfe7
"lake water to turbine, regionalized, LT",m3,kg,1000.0,added,2dc20649-05db-4931-9e43-6c554203f2ee
"river water to turbine, regionalized, PK",m3,kg,1000.0,added,2dcc9dc2-3556-4fa4-94a1-5c89edbda6ad
