SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetListName,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,MemoMapper,MemoVerifier,MemoSource,MemoTarget
ecoinvent_v3.6,Decanoic acid,185d4f1e-6d28-551b-8951-672805c4d8e5,water/unspecified,kg,=,1,FEDEFLv1.0.3,Decanoic acid,7d2b57cf-58d7-3b08-b17d-3aa79c277087,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Benzaldehyde,9c8a834a-23d4-54e6-9ecf-2855d468f208,water/unspecified,kg,=,1,FEDEFLv1.0.3,Benzaldehyde,8c4d715e-ba7e-37e1-9b09-932d2520d435,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Bromopropane,f2e4394f-61bb-5493-983d-d3d5b7b96a41,air/unspecified,kg,=,1,FEDEFLv1.0.3,1-Bromopropane,9e45fd7f-8c62-3b7e-af33-4c68c6ccf0c1,emission/air,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Bromopropane,f918799d-98d3-5d5d-b02f-480b340d038c,water/unspecified,kg,=,1,FEDEFLv1.0.3,1-Bromopropane,48ca3bf3-061d-3fd8-8e44-6b2d0834eab9,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Pentane,13fcf4c3-7800-5444-ba84-6d4b7e611ce6,water/unspecified,kg,=,1,FEDEFLv1.0.3,Pentane,471421ec-3535-33c6-b503-967bc234d14c,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Aluminium hydroxide,7b192eb2-644e-544a-9299-4a79cb4dd479,water/unspecified,kg,=,1,FEDEFLv1.0.3,Aluminum hydroxide,3de3cc33-8288-31dc-9fd5-82469d941d07,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,"Bicarbonate, ion",26e10723-d896-54ec-ab5b-5a4804d2f9ba,water/unspecified,kg,=,1,FEDEFLv1.0.3,Bicarbonate,14019299-4013-3351-af2d-287fee154b97,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Sodium,723f56f9-c68e-5692-a969-0fb2a70bce20,water/unspecified,kg,=,1,FEDEFLv1.0.3,Sodium,ba614600-af03-39a6-a0f5-897debdf159c,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Maleic anhydride,39ec593c-6c45-571f-8a6b-b76472bb4824,water/unspecified,kg,=,1,FEDEFLv1.0.3,Maleic anhydride,6f570f75-cc20-32c9-b8ea-bf891bda3c9a,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Phosphoric acid,cefa3637-739c-5e9f-99a6-2456e6a44772,water/unspecified,kg,=,1,FEDEFLv1.0.3,Phosphoric acid,63e8b1ae-f784-3f6c-83b1-c5fb9a054aa8,emission/water,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,Trisodium phosphate,094310bb-49db-5b2d-ae1b-e7b4ffca1d03,air/unspecified,kg,=,1,FEDEFLv1.0.3,Trisodium phosphate,9bf19fc2-481a-3eda-b1f8-c5817718d975,emission/air,kg,Edelen,Hottle,8/21/2020,,,,
ecoinvent_v3.6,"2-Amino-3-chloro-1,4-naphthoquinone",f9ba52c4-ffe0-53fc-9724-6c1daebcbc1c,soil/agricultural,kg,=,1,FEDEFLv1.0.3,"2-Amino-3-chloro-1,4-naphthoquinone",1f5206cf-2fd3-3dd7-a8bd-cc92a297997b,emission/ground/human-dominated/agricultural,kg,Hottle,Edelen,8/21/2020,,,,
ecoinvent_v3.6,2-Phenylphenol,5357f101-f2df-5f6e-b534-f1705b597773,soil/agricultural,kg,=,1,FEDEFLv1.0.3,2-Phenylphenol,9683e732-8160-3742-8895-75a4364d0d47,emission/ground/human-dominated/agricultural,kg,Hottle,Edelen,8/21/2020,,,,
ecoinvent_v3.6,8-Quinolinol,3d071bc4-855b-52d7-baa8-2cacbf536777,soil/agricultural,kg,=,1,FEDEFLv1.0.3,8-Quinolinol,24243896-6af1-3b6a-82a7-9c3bf135949c,emission/ground/human-dominated/agricultural,kg,Hottle,Edelen,8/21/2020,,,,
