SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated
IDEAv2.2,peat,6cd464b1-0cf1-4f28-9d81-286d27f06356,Resources/ground/Non-renewable energy resources,MJ,=,1,Peat,6e414092-5f92-3cd9-afaa-94ddeacb895b,resource/ground,MJ,Hottle,Edelen,8/24/2020
IDEAv2.2,"crude oil, 44.7MJ/kg",54a513ba-eaee-4403-a395-00774c14a1a4,Resources/ground/Non-renewable energy resources,kg,=,44.7,Crude oil,0ed0590b-2e71-385e-86bb-3d2ea0505734,resource/water/subterranean,MJ,Hottle,Edelen,8/24/2020
IDEAv2.2,"natural gas, 54.6MJ/kg",eccec726-4ce1-43b2-a5ad-cef9080b1241,Resources/ground/Non-renewable energy resources,kg,=,54.6,Natural gas,ad1bd08b-d640-3605-803e-988d109197e0,resource/air/subterranean,MJ,Hottle,Edelen,8/24/2020
IDEAv2.2,"Natural Gas Liquids, 46.5MJ/kg",d7cd8bff-4bcb-4648-87fd-43581cd38b56,Resources/ground/Non-renewable energy resources,kg,~,46.5,Natural gas,ad1bd08b-d640-3605-803e-988d109197e0,resource/air/subterranean,MJ,Hottle,Edelen,8/24/2020
IDEAv2.2,geothermal energy,5d2ff10f-34ba-4f8d-a73f-4f2fe13b9c3e,Resources/ground/Renewable energy resources,MJ,=,1,"Energy, geothermal",d2792697-9e22-3380-974f-54b92a3549a9,resource/ground,MJ,Hottle,Edelen,8/24/2020
IDEAv2.2,asbestos (white),4b2e7234-a189-4b4c-ad8e-93d215489277,Resources/ground/Non-renewable material resources,kg,=,,Asbestos,46dea5b3-6547-351f-b1ad-bd21cf48f5a8,resource/ground,kg,Edelen,Hottle,8/27/2020
IDEAv2.2,antimonite,84e25fc9-51db-4115-8358-bf94e0c95ed8,Resources/ground/Non-renewable material resources,kg,=,,Stibnite,38a2526b-0fa7-314c-a2bf-90e120d990aa,resource/ground,kg,Edelen,Hottle,8/27/2020
IDEAv2.2,magnesium chloride,6a563697-8703-4776-bfd5-2b78783b0fe9,Resources/ground/Non-renewable material resources,kg,=,1,Magnesium chloride,dbc0dc9e-78ff-3c71-aecd-4aade199c909,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,olivine,90db31c7-ceeb-4264-9e86-74b6d3401093,Resources/ground/Non-renewable material resources,kg,=,1,Olivine,578d6bfc-2db9-3ed2-a875-1e33274ae9e2,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,kaolin,1ddd2d09-d87f-4f9e-b0bd-eadc9e851e05,Resources/ground/Non-renewable material resources,kg,=,1,Kaolin,53991604-33ed-36fa-a5b9-be31797e0001,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,granite,4d1d95fe-641e-4ee2-96a7-4881b9ea80f5,Resources/ground/Non-renewable material resources,kg,=,1,Granite,703f7921-857e-3e07-88b9-978562db56a8,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,nepheline,fae3ab64-4e98-4670-ab03-e2aa086f4b53,Resources/ground/Non-renewable material resources,kg,=,1,Nepheline,79f41e35-a9e9-35fa-9b97-d8f3ef7cd248,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,rock salt,dc19872c-ab34-4e8f-b9cc-2eb72b94b499,Resources/ground/Non-renewable material resources,kg,=,1,Sodium chloride,f338dd70-dcd0-33e9-b26a-ba5c8042f793,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,"rock, except limestone",567022ed-68ed-4fef-8e49-62107f886732,Resources/ground/Non-renewable material resources,kg,<,1,Rock,5d7efa7f-2edf-3a26-8589-67ddbd4a04a2,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,quartz sand,b1bd620b-8069-4553-b142-c441fef9c99b,Resources/ground/Non-renewable material resources,kg,~,1,Quartz,6a275bf1-1e36-367b-82aa-5eb8b3af02e8,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,diatomite,fe848702-6f57-44fc-8402-a7bfc2ff92c9,Resources/ground/Non-renewable material resources,kg,=,1,Diatomite,8db22f24-6361-3d68-8aa4-4cad5d7db52c,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,basalt,382b938e-de86-4277-85bb-e602afa2febd,Resources/ground/Non-renewable material resources,kg,=,1,Basalt,09b78757-c595-360a-b817-4b7abf799cb2,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,graphite ore,be2e7675-3bf2-4d97-ac4c-77415712de82,Resources/ground/Non-renewable material resources,kg,=,1,Graphite,f742cf48-f42b-3c21-bf97-e00e779ddc79,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,colemanite,37809ea1-b879-4570-b7ca-4ebb7cb9da72,Resources/ground/Non-renewable material resources,kg,=,1,Colemanite,93cb533c-f24b-3d17-84aa-50620987eb9b,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,gravel,48975333-fffe-4088-839c-2b2dd6361fa2,Resources/ground/Non-renewable material resources,kg,=,1,Gravel,dd983461-0533-301e-bde1-e1d5f1d55c4e,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,limestone,74fd1539-c6e3-48df-9033-a2b35aeadf70,Resources/ground/Non-renewable material resources,kg,=,1,Limestone,13f50f4e-6aee-34f6-b3af-20503373f75d,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,natural gypsum,aedf4bd1-9268-469f-acb3-1946b74c24e0,Resources/ground/Non-renewable material resources,kg,=,1,Gypsum,1f8ed538-0c45-3e06-97cc-70033132a450,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,talc,71856b35-2b7b-48d9-ab86-a008e171cec8,Resources/ground/Non-renewable material resources,kg,=,1,Steatite,4d21e615-6794-3a7e-bef6-8b93f290c74e,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,feldspar,90aaebec-d001-4401-a558-117f5637fd7b,Resources/ground/Non-renewable material resources,kg,=,1,Feldspar group,ebe0c1c3-9d31-3099-b4ac-c5519c2166e3,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,soil,1e48279b-b9e9-4f10-b325-bd5cb2f23c27,Resources/ground/Non-renewable material resources,kg,=,1,Soil,14ea7d0e-a7e9-3ca3-b0ef-073e170b75fc,resource/ground,kg,Hottle,Edelen,8/24/2020
IDEAv2.2,dolomite,2f0739c2-9801-4eb3-854f-5226e3997c1d,Resources/ground/Non-renewable material resources,kg,=,1,Dolomite,89cfcaa0-f8fe-3466-a9ea-1d5e1249b0cc,resource/ground,kg,Hottle,Edelen,8/24/2020
