SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated,,SourceFlowCAS,SourceFlowCAS,Notes,TAH notes,
IDEA,rock salt,{0E9FCAEF-CF76-4FCA-8ED4-DC79FB4E9AC1},Resources/ ground/ Non-renewable material resources,kg,=,,Sodium chloride,,resource/ground,kg,Edelen,Hottle,7/10/2020,,,,Manual Match,,1
IDEA,"rock, except limestone",{7FF8AA01-1E27-4954-BC7F-6B8B8AB4826D},Resources/ ground/ Non-renewable material resources,kg,<,,Rock,,resource/ground,kg,Edelen,Hottle,7/10/2020,,,,Manual Match,,1
IDEA,rice paddy,{06582458-0894-4188-8073-3157F4AED349},Resources/ land use/ land occupation,m2year,=,,Land use,,resource/ground/human-dominated/agricultural,m2*a,Edelen,Hottle,7/9/2020,,,,Manual Match,,0
IDEA,copper,{ED53BEBD-D75A-4C4E-A001-F30181F9CF10},Resources/ ground/ Non-renewable element resources,kg,=,,Copper,,resource/ground,kg,Edelen,Hottle,7/2/2020,,007440-50-8,7440508,CAS Match,,1
IDEA,copper,{28612E1D-C10B-4628-8279-7A173ADE67D9},Emissions/ water/ unspecified,kg,=,,Copper,,emission/water,kg,Edelen,Hottle,7/2/2020,,007440-50-8,7440508,CAS Match,,1
IDEA,P total,{C6923AC1-86E5-4F32-978B-274DA617AFBB},Emissions/ water/ unspecified,kg,=,,Phosphorus,,emission/water,kg,Edelen,Hottle,7/10/2020,,,,Manual Match,,1
IDEA,N total,{40F8ED03-7975-4B0E-A7B9-F869A99138BC},Emissions/ water/ unspecified,kg,=,,Nitrogen,,emission/water,kg,Edelen,Hottle,7/10/2020,,,,Manual Match,,1
IDEA,clay,{298EEA0A-2D9D-44CF-923D-3A65FE61389C},Resources/ ground/ Non-renewable material resources,kg,=,,Clay,,resource/ground,kg,Edelen,Hottle,7/2/2020,,070694-09-6,70694096,CAS Match,,1
IDEA,gold,{D4EAE8EF-2D4D-42E7-BB95-A929D1AE0C1B},Resources/ ground/ Non-renewable element resources,kg,=,,Gold,,resource/ground,kg,Edelen,Hottle,7/9/2020,,007440-57-5,7440575,CAS Match,,1
IDEA,graphite ore,{E4CFDC3B-18B8-4B5D-BD8E-945E6813FA42},Resources/ ground/ Non-renewable material resources,kg,=,,Graphite,,resource/ground,kg,Edelen,Hottle,7/9/2020,,007782-42-5,7782425,Manual Match,,1
IDEA,primary energy from solar energy,{E18828FC-C48A-4590-B8E7-7D5883620D35},Resources/ air/ Renewable energy resources,MJ,=,,"Energy, solar",,resource/air,MJ,Edelen,Hottle,7/2/2020,,,,Manual Match,,1
IDEA,geothermal energy,{8DBB013F-0134-4B4C-B28E-2A316AF0BFB4},Resources/ ground/ Renewable energy resources,MJ,=,,"Energy, geothermal",,resource/ground,MJ,Edelen,Hottle,7/2/2020,,,,Manual Match,,1
IDEA,primary energy from waves,{525867A7-D19D-4772-BFC1-4AE004F956F2},Resources/ water/ Renewable energy resources,MJ,=,,"Energy, hydro",,resource/water,MJ,Edelen,Hottle,7/2/2020,,,,Manual Match,,1
IDEA,primary energy from wind power,{2EAF1611-DAF2-4BE2-985C-C71F6F2D7190},Resources/ air/ Renewable energy resources,MJ,=,,"Energy, wind",,resource/air,MJ,Edelen,Hottle,7/2/2020,,,,Manual Match,,1
IDEA,"arable, except rice paddy",{CEF8F248-208E-4770-B740-688691FD9230},Resources/ land use/ land occupation,m2year,=,,Land use,,resource/ground/human-dominated/agricultural,m2*a,Edelen,Hottle,7/9/2020,,,,Manual Match,,0
IDEA,"brown coal, 17.2MJ/kg",{C66A28DA-4085-42E6-86CD-D635357E1F53},Resources/ ground/ Non-renewable energy resources,kg,=,17.2,"Coal, lignite",,resource/ground,MJ,Edelen,Hottle,7/2/2020,,,,Manual Match,,1
IDEA,mineral extraction site,{8BAD433C-5E64-44D2-AC0E-CC248E26D493},Resources/ land use/ land occupation,m2year,=,,Land use,,resource/ground/human-dominated/industrial,m2*a,Edelen,Hottle,7/10/2020,,,,Manual Match,,0
IDEA,titanium,{EF4B7B6C-457C-451D-8020-222D0E532EC6},Resources/ ground/ Non-renewable element resources,kg,=,,Titanium,,resource/ground,kg,Edelen,Hottle,7/9/2020,,007440-32-6,7440326,CAS Match,,1
IDEA,neodymium,{CF740F06-C2EB-44FD-B4A8-FDE1B081F005},Resources/ ground/ Non-renewable element resources,kg,=,,Neodymium,,resource/ground,kg,Edelen,Hottle,7/9/2020,,007440-00-8,7440008,CAS Match,,1
IDEA,manganese,{C4FCB654-D825-4576-9D64-CC958577CECA},Emissions/ air/ unspecified,kg,=,,Manganese,,emission/air,kg,Edelen,Hottle,7/9/2020,,007439-96-5,7439965,CAS Match,,1
IDEA,vanadium,{3D4D3066-F33B-47B0-A8BE-0E50B171BAF8},Resources/ ground/ Non-renewable element resources,kg,=,,Vanadium,,resource/ground,kg,Edelen,Hottle,7/9/2020,,007440-62-2,7440622,CAS Match,,1
IDEA,lead,{DED95A0D-C995-4F39-9222-909F063102AB},Resources/ ground/ Non-renewable element resources,kg,=,,Lead,,resource/ground,kg,Edelen,Hottle,7/9/2020,,007439-92-1,7439921,CAS Match,,1
IDEA,sulfur,{118AE1BA-353B-43BA-A6E2-AC66882B7BE8},Resources/ ground/ Non-renewable element resources,kg,=,,Sulfur,,resource/ground,kg,Edelen,Hottle,7/9/2020,,007704-34-9,7704349,CAS Match,,1
IDEA,manganese,{AE18AB14-9B8A-411F-99BB-4F600BF9FAD4},Emissions/ water/ unspecified,kg,=,,Manganese,,emission/water,kg,Edelen,Hottle,7/9/2020,,007439-96-5,7439965,CAS Match,,1
IDEA,arsenic,{D5074BE9-31B3-4993-A897-39657602B13C},Emissions/ water/ unspecified,kg,=,,Arsenic,,emission/water,kg,Edelen,Hottle,7/9/2020,,007440-38-2,7440382,CAS Match,,1
IDEA,arsenic,{FA168C85-9D4A-452D-9A46-AE1E7AC4FC58},Emissions/ air/ unspecified,kg,=,,Arsenic,,emission/air,kg,Edelen,Hottle,7/9/2020,,007440-38-2,7440382,CAS Match,,1
IDEA,bentonite,{5D7745B4-F967-4EE0-ADDA-6050E3059B02},Resources/ ground/ Non-renewable material resources,kg,=,,Bentonite,,resource/ground,kg,Edelen,Hottle,7/9/2020,,001302-78-9,1302789,CAS Match,,1
IDEA,boron,{83305966-6F4B-4735-A6F1-511948C7E332},Resources/ ground/ Non-renewable element resources,kg,=,,Boron,,resource/ground,kg,Edelen,Hottle,7/9/2020,,007440-42-8,7440428,CAS Match,,1
IDEA,boron,{DDFB5B83-66A7-47AE-8790-14F3EF97B6E8},Emissions/ water/ unspecified,kg,=,,Boron,,emission/water,kg,Edelen,Hottle,7/9/2020,,007440-42-8,7440428,CAS Match,,1
IDEA,platinum,{90EA0F3D-4388-4B1D-B10E-26D99AC28261},Resources/ ground/ Non-renewable element resources,kg,=,,Platinum,,resource/ground,kg,Edelen,Hottle,7/9/2020,,007440-06-4,7440064,CAS Match,,1
IDEA,mercury,{94E01579-2982-4B76-80E1-1CD8A51611FD},Emissions/ water/ unspecified,kg,=,,Mercury,,emission/water,kg,Edelen,Hottle,7/9/2020,,007439-97-6,7439976,CAS Match,,1
IDEA,mercury,{A16EC95A-2A77-465E-8275-58F5E1FAC5C9},Emissions/ air/ unspecified,kg,=,,Mercury,,emission/air,kg,Edelen,Hottle,7/9/2020,,007439-97-6,7439976,CAS Match,,1
IDEA,chlorine,{D78C08AF-D0D0-4EBC-B571-7BEB657F9479},Emissions/ air/ unspecified,kg,=,,Chlorine,,emission/air,kg,Edelen,Hottle,7/9/2020,,007782-50-5,7782505,CAS Match,,1
IDEA,non-methane volatile organic compounds,{0BA33F03-38F5-4915-88E4-46BC301AAA63},Emissions/ air/ unspecified,kg,<,,Volatile organic compounds,,emission/air,kg,Edelen,Hottle,7/10/2020,,,,Manual Match,,1
IDEA,molybdenum,{15AECA1D-8E51-4CCC-A9AF-0131BF23BEC2},Resources/ ground/ Non-renewable element resources,kg,=,,Molybdenum,,resource/ground,kg,Edelen,Hottle,7/9/2020,,007439-98-7,7439987,CAS Match,,1
IDEA,zinc,{8B373B90-4547-44B3-AAD0-0BDCA537ADDA},Resources/ ground/ Non-renewable element resources,kg,=,,Zinc,,resource/ground,kg,Edelen,,7/29/2020,,007440-66-6,7440666,CAS Match,,1
IDEA,dump yard,{5B01CD65-F8DD-4F42-AC82-F55D1FB10891},Resources/ land use/ land occupation,m2year,=,,Land use,,resource/ground/human-dominated/industrial,m2*a,Edelen,Hottle,7/10/2020,,,,CAS Match,,0
IDEA,diatomite,{3AD73221-96F5-46AA-8EF1-ADD15364DD67},Resources/ ground/ Non-renewable material resources,kg,=,,Diatomite,,resource/ground,kg,Edelen,Hottle,7/15/2020,,068855-54-9,68855549,Manual Match,,1
IDEA,suspended solids,{FAFE9E19-42CA-4272-A262-53BDA368A9EE},Emissions/ water/ unspecified,kg,>,,"Suspended solids, inorganic",,emission/water,kg,Edelen,Hottle,7/10/2020,,,,Manual Match,,1
IDEA,limestone,{9BB4BFBF-3EEF-4423-A08F-6B35D3CB3FB1},Resources/ ground/ Non-renewable material resources,kg,=,,Limestone,,resource/ground,kg,Edelen,Hottle,7/2/2020,,001317-65-3,1317653,CAS Match,,1
IDEA,sea water,{2FBB9235-9E43-4FB7-B736-7D45D9A312F7},Resources/ water/ withdrawal,m3,=,1025,"Water, saline",,resource/water/saline water body/ocean,kg,Edelen,Hottle,7/2/2020,,007732-18-5,7732185,Manual Match,,1
IDEA,PFC-14,{E31AC8E4-16DE-43B0-9A01-AC88B5257ECC},Emissions/ air/ unspecified,kg,=,,Carbon tetrafluoride,,emission/air,kg,Edelen,Hottle,7/9/2020,,000075-73-0,75730,CAS Match,,1
IDEA,2-methyl-N-[3-(1-methylethoxy)phenyl]benzamide,{CB1C89E3-7FB0-4F30-A89E-CB991E2ADB11},Emissions/ water/ unspecified,kg,,,[unmapped],,,,,,,,055814-41-0,55814410,Potential add with context,,0
