Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1,,
carbon dioxide (fossil),,,"CO2;CO2 (fossil);二酸化炭素;CO2;carbon dioxide,CO2;CO2 (fossil);二酸化炭素;CO2;carbon dioxide",kg,Element or Compound,,,Emissions/air/unspecified,f3f4f316-49ac-4cd9-9de9-4f3276974f5f,,,,
chromium,007440-47-3,,"Cr;Cr;chromium;chromium reserves,Cr;Cr;chromium;chromium reserves",kg,Element or Compound,,,Emissions/air/unspecified,490cc358-9703-49ef-962a-566264b9c287,,,19498-56-7; 7440-47-3,
HCFC-141b,001717-00-6,,"C2Cl2H3F;1,1-dichloro-1-fluoroethane;1,1-ジクロロ-1-フルオロエタン;HCFC-141b;1,1-dichloro-1-fluoroethane,C2Cl2H3F;1,1-dichloro-1-fluoroethane;1,1-ジクロロ-1-フルオロエタン;HCFC-141b;1,1-dichloro-1-fluoroethane",kg,Element or Compound,,,Emissions/air/unspecified,e8e0ccae-d0df-4cbe-973b-7b4a16eba3d6,,,1717-00-6,
hydrogen chloride,007647-01-0,,"HCl;HCl;塩酸;hydrogen chloride;HCl;hydrochloric acid,HCl;HCl;塩酸;hydrogen chloride;HCl;hydrochloric acid",kg,Element or Compound,,,Emissions/air/unspecified,2e6a3c3b-417b-467b-aa16-04da39e510ab,,,185912-82-7; 124760-64-1; 2647-01-0; 7698-05-7; 7647-01-0,
HFC-134a,000811-97-2,,"C2H2F4;1,1,1,2-tetrafluoroethane;1,1,1,2-テトラフルオロエタン;HFC-134a;1,1,1,2-tetrafluoroethane,C2H2F4;1,1,1,2-tetrafluoroethane;1,1,1,2-テトラフルオロエタン;HFC-134a;1,1,1,2-tetrafluoroethane",kg,Element or Compound,,,Emissions/air/unspecified,6ce87c66-5cf3-4668-a314-78666639fe16,,,29759-38-4; 811-97-2,
mercury,007439-97-6,,"Hg;Hg;mercury,Hg;Hg;mercury",kg,Element or Compound,,,Emissions/air/unspecified,a16ec95a-2a77-465e-8275-58f5e1fac5c9,,,7439-97-6,
nitrous oxide,010024-97-2,,"N2O;Laughing gas; Dinitrogen monoxide;亜酸化窒素;一酸化二窒素;N2O;nitrous oxide;dinitrogen monoxide,N2O;Laughing gas; Dinitrogen monoxide;亜酸化窒素;一酸化二窒素;N2O;nitrous oxide;dinitrogen monoxide",kg,,,,Emissions/air/unspecified,ce78e79d-9f85-4ffb-9de3-44943a9a9641,,,10024-97-2,
nickel,007440-02-0,,"Ni;Ni;nickel;Ni,Ni;Ni;nickel;Ni",kg,Element or Compound,,,Emissions/air/unspecified,5472852c-7480-4aca-898b-f7b571a4b442,,,21595-53-9; 7440-02-0,
non-methane volatile organic compounds,,,"NMVOC,NMVOC",kg,Groups of Chemicals ,,,Emissions/air/unspecified,0ba33f03-38f5-4915-88e4-46bc301aaa63,,,,
NOx,,,"窒素酸化物;NOx;nitrogen oxides,窒素酸化物;NOx;nitrogen oxides",kg,,,,Emissions/air/urban air close to ground,667db08e-50e5-4343-b331-78e290b2b80d,,,,
NOx,,,,kg,Groups of Chemicals ,,,Emissions/air/urban high stacks,4e6321b4-0c99-4ac0-9c39-651fa4415f6c,,,,
NOx,,,,kg,Groups of Chemicals ,,,Emissions/air/non-urban,1cba6ae4-66bb-4b66-aea5-d373e9f443c3,,,,
lead,007439-92-1,,"Pb;鉛;Pb;lead,Pb;鉛;Pb;lead",kg,,,,Emissions/air/unspecified,3ffc6dd2-4df4-4b7d-8c9a-b00a035968f8,,,14452-81-4; 54076-28-7; 7439-92-1,
Particulates (PM2.5),,,,kg,,,,Emissions/air/urban air close to ground,a1560406-241d-42cb-a1ba-5e9289a21903,,,,
Particulates (PM2.5),,,,kg,Groups of Chemicals ,,,Emissions/air/urban high stacks,2a2472f4-632e-4e60-9fb2-a80b08b24c56,,,,
Particulates (PM2.5),,,,kg,Groups of Chemicals ,,,Emissions/air/non-urban,f9e53cbd-2a3c-454f-abf2-d3f69d1420f7,,,,
sulfur hexafluoride,002551-62-4,,"SF6;Sulphur hexafluoride;六フッ化硫黄;SF6;sulphur hexafluoride,SF6;Sulphur hexafluoride;六フッ化硫黄;SF6;sulphur hexafluoride",kg,Element or Compound,,,Emissions/air/unspecified,9b2e5cf0-8528-4d73-90ea-eaee8a1f94f9,,,2551-62-4,
