Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,,Second CAS
Nicosulfuron,111991-09-4,,"2-(4,6-dimethoxypyrimidin-2-ylcarbamoylsulfamoyl)-N,N-dimethylnicotinamide",kg,chemical,,,soil/agricultural,504672ba-784f-4c87-bf3e-ede17992e4a2,,,111991-09-4
"Niobium, in ground",007440-03-1,Nb,,kg,geological,,1,natural resource/in ground,8de8befc-efa2-5d07-a58b-b29ea97a3f41,,,
Niobium-95,013967-76-5,,,kBq,chemical,,,"air/low population density, long-term",8e98345c-5524-473d-9b23-437ac336f21a,,,13967-76-5
Niobium-95,013967-76-5,,,kBq,chemical,,,air/lower stratosphere + upper troposphere,8e70c356-ceaa-4f83-8a06-55ec5eadd14a,,,13967-76-5
Niobium-95,013967-76-5,Nb,,kBq,chemical,,,air/non-urban air or from high stacks,6f1e995b-5915-4363-bd2c-d1e76ee446e0,,,13967-76-5
Niobium-95,013967-76-5,,,kBq,chemical,,,air/unspecified,70896cfa-fd83-4a5d-b663-74f7e4670217,,,13967-76-5
Niobium-95,013967-76-5,Nb,,kBq,chemical,,,air/urban air close to ground,8a049876-3082-49ab-af0a-511ef7d331a9,,,13967-76-5
Niobium-95,013967-76-5,,,kBq,chemical,,,water/ground-,c74226fa-4297-44ff-8caa-6b3cfd6dd67a,,,13967-76-5
Niobium-95,013967-76-5,,,kBq,chemical,,,"water/ground-, long-term",06449f0f-08af-4ca6-8c23-afd06c887810,,,13967-76-5
Niobium-95,013967-76-5,,,kBq,chemical,,,water/ocean,b5a90600-3fe4-4d46-9e4a-2c9f4d87675c,,,13967-76-5
Niobium-95,013967-76-5,Nb,,kBq,chemical,,,water/surface water,dec2d31c-00b1-454a-9b2a-37875c0af04a,,,13967-76-5
Niobium-95,013967-76-5,,,kBq,chemical,,,water/unspecified,a53100b0-d453-4dad-b885-3728482d5c55,,,13967-76-5
Nitrate,014797-55-8,,,kg,chemical,,,"air/low population density, long-term",205617ae-ebc5-4245-8df6-8710d5d40615,,,14797-55-8
Nitrate,014797-55-8,,,kg,chemical,,,air/lower stratosphere + upper troposphere,0e9e6b81-0a68-4350-8368-566c083bd3e0,,,14797-55-8
Nitrate,014797-55-8,,,kg,chemical,,,air/non-urban air or from high stacks,cbd70647-6237-462a-9d01-d197a8b08506,,,14797-55-8
Nitrate,014797-55-8,,,kg,chemical,,,air/unspecified,5e7cf95c-9cc3-4479-89af-55377b3db99c,,,14797-55-8
Nitrate,014797-55-8,,,kg,chemical,,,air/urban air close to ground,15ca802b-f541-44aa-bd33-35560a053193,,,14797-55-8
Nitrate,014797-55-8,NO3 -,,kg,chemical,,,soil/unspecified,774c181d-18a7-4096-aa99-56801ef6b909,,,14797-55-8
Nitrate,014797-55-8,,,kg,chemical,,,water/ground-,b9291c72-4b1d-4275-8068-4c707dc3ce33,,,14797-55-8
Nitrate,014797-55-8,,,kg,chemical,,,"water/ground-, long-term",b61057a3-a0bc-4158-882e-b819c4797419,,,14797-55-8
Nitrate,014797-55-8,,,kg,chemical,,,water/ocean,43c700bb-0b3b-4fb1-8bd1-3d1da82b6844,,,14797-55-8
Nitrate,014797-55-8,,,kg,chemical,,,water/surface water,7ce56135-2ca5-4fba-ad52-d62a34bfeb35,,,14797-55-8
Nitrate,014797-55-8,,,kg,chemical,,,water/unspecified,5189de76-6bbb-44ba-8c42-5714f1b4371f,,,14797-55-8
Nitric acid,007697-37-2,HNO3,,kg,chemical,,,soil/industrial,2354e2f3-5a4e-4d54-8183-4027fb64c4eb,,,309963-65-3; 153312-87-9; 78989-43-2; 68412-17-9; 7697-37-2
Nitric oxide,010102-43-9,,,kg,chemical,,,air/unspecified,17f7e776-7934-54af-8c3c-ed0247cb697b,,,10102-43-9
Nitrite,014797-65-0,,,kg,chemical,,,water/ground-,9a98be81-7711-4a1b-adc0-8e65acf05d62,,,14797-65-0
Nitrite,014797-65-0,,,kg,chemical,,,"water/ground-, long-term",f5d022f1-c26d-4044-ac88-d7c5bbff83c4,,,14797-65-0
Nitrite,014797-65-0,,,kg,chemical,,,water/ocean,2f19a0af-a516-4f89-88ba-4c6b7cd52650,,,14797-65-0
Nitrite,014797-65-0,,,kg,chemical,,,water/surface water,0017271e-7df5-40bc-833a-36110c1fe5d5,,,14797-65-0
Nitrite,014797-65-0,,,kg,chemical,,,water/unspecified,9f5bfac4-cbb6-4b38-afb9-cf563fc5ca15,,,14797-65-0
Nitrobenzene,000098-95-3,,,kg,chemical,,,"air/low population density, long-term",c4db66cb-0449-4c8c-ab90-efc3329e62df,,,98-95-3
Nitrobenzene,000098-95-3,,,kg,chemical,,,air/lower stratosphere + upper troposphere,2fdf4d27-d787-4a48-9e8e-8cbd79246c74,,,98-95-3
Nitrobenzene,000098-95-3,,,kg,chemical,,,air/non-urban air or from high stacks,7f4b72f2-fcd8-481f-9931-eb2cde502add,,,98-95-3
Nitrobenzene,000098-95-3,,,kg,chemical,,,air/unspecified,3be7ab07-a4fd-4d32-a31f-134d2c5b5143,,,98-95-3
